region_id,mean_electricity,mean_heatingfuels,region_name
ARG.15.359,-0.010434949,-1.118374431,Huiliches
ARG.15.360,-0.031482023,-1.175422854,Lacar
ARG.15.362,-0.047433513,-1.19579019,Los Lagos
ARG.15.363,-0.034967578,-1.35484834,Minas
ARG.15.364,0.012193459,-1.10706706,orqun
ARG.15.365,0.114945598,-0.720033403,Pehuenches
ARG.15.366,0.081712424,-0.76612123,Picn Leuf
ARG.15.368,0.049064607,-0.91705427,Zapala
ARG.15.R371f800a67df8213,0.041046035,-0.95806033,Agglomeration
ARG.16.369,0.062053019,-0.597496773,Adolfo Alsina
ARG.16.370,0.130575238,-0.571786491,Avellaneda
